Year,Make,Model,Subseries,Color,Drs,Cyl,Fuel,Trans,4x4,EW,Radio,Top,Int,Odometer,Price
2006,TOYOTA,CAMRY 4C,,GRAY,4,4,GAS,,4X2,,,,,"180,443","$2,400"
2009,TOYOTA,CAMRY 4C,,WHITE,4,4,GAS,A,4X2,A,CD,HT,C,"105,199","$7,900"
2008,TOYOTA,CAMRY 4C,LE,GRAY,4,4,GAS,A,4X2,A,CD,HT,C,"106,606","$5,600"
2018,TOYOTA,CAMRY 4C,LE,WHITE,4,4,GAS,A,4X2,A,AM/FM,HT,C,"60,269","$17,700"
2013,TOYOTA,CAMRY 4C,SE,WHITE,4,4,GAS,A,4X2,A,CD,HT,C,"129,795","$8,100"
2017,TOYOTA,CAMRY 4C,SE,GRAY,4,4,GAS,A,4X2,A,CD,HT,B,"52,301","$18,600"
2018,TOYOTA,CAMRY 4C,XSE,BLACK,4,4,GAS,A,4X2,A,AM/FM,PN,E,"117,628","$17,000"
2003,TOYOTA,COROLLA,CE,MAROON,4,4,GAS,,4X2,,,,,"208,282","$1,100"
2008,TOYOTA,COROLLA,CE,GOLD,4,4,GAS,A,4X2,,CD,HT,C,"154,759","$3,800"
2014,TOYOTA,COROLLA,LE,WHITE,4,4,GAS,A,4X2,A,CD,HT,C,"107,634","$11,300"
2017,TOYOTA,COROLLA,LE,SILVER,4,4,GAS,A,4X2,A,CD,HT,C,"49,665","$14,000"
2018,TOYOTA,COROLLA,LE,GRAY,4,4,GAS,A,4X2,A,CD,SR,C,"85,367","$14,500"
2006,TOYOTA,COROLLA,S,GRAY,4,4,GAS,A,4X2,,CD,HT,C,"185,942","$2,400"
2011,TOYOTA,COROLLA,S,SILVER,4,4,GAS,M,4X2,,,,,"211,215","$4,300"
2004,TOYOTA,COROLLA,SPORT,WHITE,4,4,GAS,,4X2,,,,,"175,996","$3,400"
2007,TOYOTA,FJ CRUISER 4X4,,BLUE,S,6,GAS,A,4X4,A,CD,HT,C,"214,008","$9,200"
2014,TOYOTA,HIGHLNDR AWD V6,XLE,BLACK,S,6,GAS,A,AWD,A,CD,SR,E,"166,309","$16,400"
2009,TOYOTA,MATRIX FWD 4C,,RED,4,4,GAS,A,4X2,A,CD,HT,C,"161,868","$3,300"
2007,TOYOTA,PRIUS,NONE,SILVER,S,4,C,A,,,N,NO,N,"99,119","$6,100"
2019,TOYOTA,RAV4 AWD,LIMITED,BLACK,S,4,GAS,A,AWD,A,AM/FM,SR,L,"58,664","$33,800"
2013,TOYOTA,RAV4 AWD,XLE,BLACK,S,4,GAS,A,AWD,A,CD,SR,C,"78,815","$14,800"
2018,TOYOTA,RAV4 AWD,XLE,BLACK,S,4,GAS,A,AWD,A,CD,SR,C,"27,307","$26,600"
2007,TOYOTA,RAV4 FWD 4C,,WHITE,S,4,GAS,A,4X2,,,SR,,"175,248","$4,100"
2007,TOYOTA,RAV4 4X4 V6,LIMITED,BLUE,S,6,GAS,,4X4,,,,,"201,183","$3,300"
2008,TOYOTA,RAV4 4X4 4C,SPORT,SILVER,S,4,GAS,A,4X4,A,CD,SR,C,"177,757","$4,400"
2008,TOYOTA,SEQUOIA 4X2 V8,SR5,WHITE,S,8,GAS,O,4X2,A,CD,HT,L,"108,665","$12,400"
2014,TOYOTA,SIENNA FWD,LE,BLACK,V,6,GAS,A,4X2,A,CD,HT,C,"123,643","$13,600"
2019,TOYOTA,TACOMA 4X2 EX,SR,WHITE,X,4,GAS,A,4X2,A,CD,HT,C,"42,920","$22,300"
2008,TOYOTA,TACOMA 4X4 DB,,BLUE,C,6,GAS,A,4X4,A,CD,HT,C,"100,600","$15,000"
2019,TOYOTA,TACOMA 4X4 EX,SR,BLACK,X,6,GAS,A,4X4,A,CD,HT,C,"63,459","$29,000"
2016,TOYOTA,TACOMA 4X4 V6,SR,WHITE,D,6,GAS,A,4X4,A,CD,HT,C,"41,383","$30,000"
2007,TOYOTA,TUNDRA 4X4 V8,LTD,SILVER,C,8,GAS,O,4X4,A,CD,HT,E,"87,961","$13,500"
2004,TOYOTA,4RUNNER 4X4 V6,SR5,SILVER,S,6,GAS,A,4X4,,,SR,,"125,247","$6,500"
2005,TOYOTA,4RUNNER 4X4 V8,SR5,SILVER,S,8,GAS,A,4X4,A,B,SR,C,"186,991","$5,400"
2011,NISSAN,ALTIMA,2.5 S,WHITE,4,4,GAS,,4X2,,,,,"172,387","$2,100"
2008,NISSAN,ALTIMA,2.5 SL,BLACK,4,4,GAS,,4X2,,,SR,,"91,655","$3,599"
2019,NISSAN,ALTIMA AWD 4C,2.5 SL,WHITE,4,4,GAS,A,AWD,A,AM/FM,SR,L,"27,918","$28,400"
2019,NISSAN,ALTIMA AWD 4C,2.5 SL,SILVER,4,4,GAS,A,AWD,A,AM/FM,SR,L,"11,181","$28,400"
